NAME,SALARY,POS,AGE,MIN%,USG%,TO%,FT%,2P%,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Kelly Olynyk,12198243 ,3,29.32,40.4,17.4,13.8,0.86,0.543,0.406,0.582,0.621,8.2,4.6,13.1,1.7,13.3,0.67,0.34,1.06,8.3,116.1,96.6
Kelly Oubre Jr.,14375000 ,2,24.68,71.9,22.4,8.2,0.78,0.511,0.352,0.517,0.56,18.7,6.5,10.4,1.5,6.6,1.25,0.71,1.48,6.6,108.8,103.5
Kemba Walker,34379100 ,1,30.27,64.8,27.2,10.5,0.864,0.476,0.381,0.526,0.575,20.4,3.9,6.7,4.8,24.2,0.86,0.5,2.09,9.3,115.8,107.4
Kendrick Nunn,1663861 ,1,25.03,61,24,10.6,0.85,0.505,0.35,0.514,0.534,15.3,2.7,5.1,3.3,18.5,0.84,0.22,1.7,7,103.3,106.4
Kenrich Williams,2000000 ,1,25.7,44.4,8.9,12.2,0.346,0.52,0.258,0.432,0.429,3.5,4.8,11.9,1.5,8.4,0.69,0.54,0.56,5.5,102.2,104.2
Kentavious Caldwell-Pope,12073020 ,1,27.49,53.2,14.7,10.1,0.775,0.541,0.385,0.558,0.584,9.3,2.1,4.4,1.6,8.5,0.84,0.2,0.9,4.9,114.4,105.2
Kevin Huerter,2761920 ,1,21.97,65.5,17.1,12,0.828,0.453,0.38,0.517,0.536,12.2,4.1,7,3.8,17.5,0.91,0.48,1.55,7.3,107.4,112
Kevin Knox,4588680 ,2,21.01,37.4,17.9,9.2,0.653,0.391,0.327,0.44,0.47,6.4,2.8,8.4,0.9,7.4,0.35,0.43,0.69,5.6,97.3,107.9
Kevin Love,31300000 ,2,31.94,66.2,23.2,14.6,0.854,0.537,0.374,0.55,0.599,17.6,9.8,17.1,3.2,15.4,0.59,0.34,2.52,10.3,112.5,110.1
Kevin Porter Jr.,2033160 ,1,20.28,48.4,20.6,16.7,0.723,0.506,0.335,0.505,0.535,10,3.2,7.7,2.2,13.9,0.92,0.28,1.86,7.1,99.6,105.5
Kevon Looney,4821429 ,2,24.52,27.3,15.9,13.4,0.75,0.431,0.071,0.373,0.403,3.4,3.3,13.7,1,11.1,0.6,0.3,0.65,6.8,93,102.5
Khem Birch,3000000 ,3,27.88,40,10.2,14.2,0.653,0.514,0,0.51,0.566,4.4,4.6,12.8,1,7.3,0.42,0.48,0.65,5.7,120.6,103.1
Khris Middleton,33051724 ,2,29.01,62.3,26.3,11.5,0.916,0.546,0.415,0.575,0.619,20.9,6.2,10.2,4.3,22.2,0.85,0.11,2.19,11,118.1,97.8
Khyri Thomas,744684 ,1,24.27,15.9,15.5,13.8,0.5,0,0.357,0.441,0.453,2.1,0.1,0.9,0.4,6.7,0.38,0,0.38,2.3,88,103
Kris Dunn,4767000 ,1,26.41,51.8,14.6,15.7,0.741,0.535,0.259,0.487,0.51,7.3,3.7,8.1,3.4,19.5,1.96,0.35,1.33,7.2,104.4,98.8
Kyle Anderson,9505100 ,2,26.9,41.4,13.5,15.3,0.667,0.541,0.282,0.511,0.534,5.8,4.3,11.3,2.4,15.9,0.78,0.55,0.99,7.9,108.9,104.6
Kyle Kuzma,3562178 ,2,25.06,52.1,22.8,11,0.735,0.518,0.316,0.5,0.531,12.8,4.5,9.8,1.3,7.6,0.46,0.43,1.49,6.7,102.2,102.7
Kyle Lowry,30000000 ,1,34.39,75.4,23.1,15.7,0.857,0.504,0.352,0.518,0.59,19.4,5,7.3,7.5,30.6,1.41,0.45,3.07,9.9,115.9,99.9
Kyrie Irving,33329100 ,1,28.39,68.5,32.6,10.1,0.922,0.522,0.394,0.546,0.595,27.4,5.2,8.1,6.4,36.7,1.35,0.5,2.6,11.8,118.6,104.1
KZ Okpala,1517981 ,2,21.3,10.8,11.6,14.5,0.5,0.75,0,0.6,0.595,1.4,1,10.7,0.2,5.5,0.4,0.2,0.2,5,110,101.3
LaMarcus Aldridge,24000000 ,2,35.07,68.9,23.4,7.8,0.827,0.518,0.389,0.531,0.57,18.9,7.4,12,2.4,11.4,0.68,1.64,1.4,8.4,114.7,109.1
Landry Shamet,2090040 ,1,23.43,57.1,13.4,9,0.855,0.495,0.375,0.546,0.58,9.3,1.9,3.6,1.9,9.1,0.38,0.19,0.79,4.7,115.1,104.1
Langston Galloway,2028594 ,1,28.68,53.7,15.9,6.5,0.857,0.493,0.399,0.557,0.584,10.2,2.2,4.9,1.5,8.8,0.73,0.15,0.61,5,117.7,112.3
Larry Nance Jr.,11709091 ,2,27.62,54.8,15.2,11.5,0.676,0.636,0.352,0.596,0.608,10.1,7.3,15.4,2.2,12.3,0.98,0.39,1.07,8.3,121.9,109.4
Lauri Markkanen,6731508 ,2,23.23,62.2,21.1,11,0.824,0.518,0.344,0.517,0.56,14.7,6.3,11.6,1.5,7.6,0.84,0.48,1.62,7,107.9,107.5
LeBron James,39219565 ,2,35.62,72,31.5,15.1,0.693,0.564,0.348,0.55,0.577,25.3,7.8,12.3,10.2,49.1,1.16,0.54,3.9,14.6,115.4,103.8
Lonnie Walker,2892000 ,1,21.67,33.8,18.8,10.5,0.726,0.432,0.406,0.482,0.506,6.4,2.3,7.6,1.1,9.6,0.52,0.23,0.74,6.2,99.3,108.9
Lonzo Ball,11003782 ,1,22.8,67,18.4,21,0.566,0.442,0.375,0.511,0.517,11.8,6.1,10,6.9,28.9,1.41,0.59,3.05,9.9,103.1,108.2
Lou Williams,8000000 ,1,33.8,59.7,28.4,14.4,0.861,0.451,0.352,0.477,0.546,18.2,3.1,5.6,5.6,30.1,0.66,0.18,2.8,9.5,108.8,108.6
Luguentz Dort,1517981 ,1,21.32,47.5,14.2,8.3,0.792,0.475,0.297,0.461,0.503,6.8,2.3,5.5,0.8,4.6,0.89,0.11,0.61,4.1,102.4,100.9
Luke Kennard,5273826 ,1,24.14,68.6,19.8,10.3,0.893,0.491,0.399,0.548,0.589,15.8,3.5,6,4.1,19.2,0.43,0.21,1.54,7.4,117.5,110.8
Luke Kornet,2304878 ,3,25.09,32.3,16.3,6.6,0.714,0.646,0.287,0.521,0.539,6,2.3,8.3,0.9,8.5,0.31,0.72,0.39,6,111.8,106
Malcolm Brogdon,20700000 ,1,27.67,64.3,25.2,13.7,0.892,0.487,0.326,0.488,0.54,16.5,4.9,8.6,7.1,33.8,0.65,0.19,2.43,10.8,110.4,106.9
Malik Monk,5345687 ,1,22.53,44.3,22.9,12.6,0.82,0.542,0.284,0.494,0.53,10.3,2.9,7.3,2.1,16.6,0.45,0.29,1.4,7.5,102.7,110.4
Marc Gasol,2564753 ,3,35.54,55,13.2,16.4,0.735,0.473,0.385,0.529,0.551,7.5,6.2,12.5,3.3,17.3,0.77,0.86,1.34,8.1,110.1,96
Marcus Smart,13446428 ,1,26.44,66.6,18.9,12.2,0.836,0.415,0.347,0.476,0.518,12.9,3.8,6.3,4.9,21.1,1.67,0.48,1.73,7.8,109.4,102.6
Markelle Fultz,12288697 ,1,22.21,57.8,21.4,14.9,0.73,0.507,0.267,0.488,0.517,12.1,3.3,6.4,5.1,29,1.25,0.17,2.04,8.5,104.2,105.6
Marko Guduric,2750000 ,1,25.44,22.9,17.6,17.6,0.923,0.5,0.301,0.475,0.514,3.9,1.7,7.9,1,12.3,0.27,0.18,0.82,6.8,96.3,108.4
Marquese Chriss,1824003 ,2,23.12,42.2,19,14.6,0.769,0.582,0.205,0.554,0.603,9.3,6.2,16.6,1.9,15.3,0.66,1.05,1.32,9.4,116.6,104.5
Marvin Bagley III,8963640 ,2,21.42,53.5,25.8,9.1,0.806,0.51,0.182,0.479,0.512,14.2,7.5,16.3,0.8,4.9,0.46,0.92,1.38,6.8,102,101
Mason Plumlee,8000000 ,2,30.45,36.1,18,18.5,0.535,0.625,0,0.615,0.613,7.2,5.2,16.7,2.5,20.9,0.52,0.61,1.33,10.5,117.4,98.1
Matisse Thybulle,2711280 ,1,23.45,41.3,11.2,15.3,0.61,0.519,0.357,0.528,0.539,4.7,1.6,4.6,1.2,8,1.43,0.72,0.78,4.2,104.7,100.7
