NAME,SALARY,POS,AGE,MIN%,USG%,TO%,FT%,2P%,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Russell Westbrook,41358814 ,1,31.75,74.9,34.4,15,0.763,0.514,0.258,0.493,0.536,27.2,7.9,11.5,7,35.6,1.65,0.35,4.47,12.7,105.6,102.4
Ryan Anderson,5214583 ,2,32.27,14.6,23.7,12.5,0,0.5,0.2,0.357,0.357,2.5,3.5,26.2,1,20.4,0.5,0,0.5,11.8,77.5,94.4
Ryan Arcidiacono,3000000 ,1,26.39,33.4,12.5,13.5,0.711,0.439,0.391,0.532,0.551,4.5,1.9,6.5,1.7,14.3,0.47,0.05,0.64,6.1,111.4,105.3
Sekou Doumbouya,3449400 ,2,19.64,41.3,16.9,12,0.674,0.464,0.286,0.449,0.474,6.4,3.1,8.9,0.5,3.7,0.53,0.21,0.92,4.3,90.7,105.2
Semi Ojeleye,1752950 ,2,25.69,30.5,9.7,8.3,0.875,0.464,0.378,0.531,0.562,3.4,2.1,7.7,0.5,4.7,0.3,0.07,0.28,4.2,115.8,104.4
Serge Ibaka,9258000 ,2,30.91,56.2,24,13.1,0.718,0.559,0.385,0.564,0.583,15.4,8.2,16.1,1.4,8.6,0.51,0.84,1.98,8.3,107.6,96.4
Seth Curry,7813953 ,1,29.98,51.3,18.4,9.1,0.825,0.549,0.452,0.621,0.643,12.4,2.3,4.8,1.9,11.6,0.59,0.14,0.97,6.2,122.9,109.2
Shai Gilgeous-Alexander,4141320 ,1,22.09,72.3,23.6,10.3,0.807,0.513,0.347,0.515,0.569,19,5.9,9.4,3.3,15.2,1.13,0.67,1.93,8.3,111.3,106.4
Shake Milton,1701593 ,1,23.88,41.9,18.8,13.3,0.785,0.535,0.43,0.588,0.617,9.4,2.2,6,2.6,18.8,0.48,0.18,1.18,7.5,117.6,102.5
Shaquille Harrison,1678854 ,1,26.86,23.5,18.1,9.2,0.78,0.496,0.381,0.515,0.559,4.9,2,9.7,1.1,15.3,0.81,0.44,0.44,7.8,116.3,100.3
Sindarius Thornwell,1678854 ,1,25.75,37,17,13.6,0.5,0.571,0.5,0.636,0.627,8,2,6,2,15.9,0.5,0.5,1,7.1,115.2,111
Spencer Dinwiddie,11454048 ,1,27.36,64.9,29.2,12.5,0.778,0.485,0.308,0.476,0.542,20.6,3.5,5.7,6.8,35,0.63,0.33,2.72,10.1,111,105.1
Stanley Johnson,3801000 ,2,24.21,12.5,23.1,18.5,0.563,0.429,0.292,0.432,0.454,2.4,1.5,13,0.8,19.4,0.24,0.16,0.6,9.5,89.7,95.6
Stephen Curry,43006362 ,1,32.42,58,33.6,14.6,1,0.636,0.245,0.476,0.557,20.8,5.2,10.1,6.6,42.2,1,0.4,3.2,12.8,109.4,108.3
Sterling Brown,1678854 ,1,25.51,30.7,17,13.3,0.8,0.425,0.324,0.457,0.486,5.1,3.5,11.8,1,8.6,0.56,0.13,0.81,7.1,96.3,97.5
